Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_539.jpg,3.747345,0,0,2.050434,101.3582,77.64633,359.8561,286.436,0.5482801
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_606.jpg,0.7186849,0.2019107,0,2.043818,101.3938,77.5296,359.8249,286.7487,0.5950832
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_673.jpg,0,0.4006818,0,2.049227,101.441,77.3724,359.8259,286.8179,0.6061379
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_739.jpg,0,0.1978147,0,2.06027,101.4768,77.25346,359.8557,286.8224,0.5988581
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_805.jpg,0,0,0,2.061624,101.5126,77.13445,359.89,286.8217,0.5763958
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_872.jpg,0,0,0,2.055564,101.5601,76.97666,359.9151,286.8218,0.5333952
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_937.jpg,0,0.09892868,0,2.048754,101.5956,76.85896,359.9201,286.822,0.4920421
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_07_004.jpg,0,0.2909999,0,2.047205,101.6312,76.74107,359.9309,286.8221,0.4445413
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_07_072.jpg,0,0.2917549,0,2.059874,101.6791,76.58245,359.9777,286.8221,0.3742485
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_07_138.jpg,0,0.09173578,0,2.066596,101.7152,76.4631,0.01890893,286.822,0.3182129
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_07_208.jpg,0,0,0,2.06168,101.7511,76.34427,0.04504028,286.8219,0.2608733
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_07_273.jpg,0,0,0,2.054909,101.7987,76.18691,0.05080772,286.8219,0.1845735
